EnsembleID	GeneName
ENSG00000143951	WDPCP
ENSG00000138795	LEF1
ENSG00000110944	IL23A
ENSG00000112782	CLIC5
ENSG00000128917	DLL4
ENSG00000166292	TMEM100
ENSG00000055732	MCOLN3
ENSG00000110693	SOX6
ENSG00000166823	MESP1
ENSG00000003137	CYP26B1
ENSG00000177706	FAM20C
ENSG00000125850	OVOL2
ENSG00000151748	SAV1
ENSG00000196189	SEMA4A
ENSG00000127152	BCL11B
ENSG00000101882	NKAP
ENSG00000186862	PDZD7
ENSG00000111186	WNT5B
ENSG00000164935	DCSTAMP
ENSG00000158555	GDPD5
ENSG00000184564	SLITRK6
ENSG00000140795	MYLK3
ENSG00000165091	TMC1
ENSG00000149635	OCSTAMP
ENSG00000164509	IL31RA
ENSG00000162594	IL23R
ENSG00000143869	GDF7
ENSG00000119919	NKX2-3
ENSG00000242866	STRC
ENSG00000004848	ARX
ENSG00000180613	GSX2
ENSG00000197753	LHFPL5
ENSG00000101974	ATP11C
